representation_model,topic,words,weighted_words
keybert,36,"pacifica, chrysler, minivans, minivan, nissan, innovations, trunk, tailgate, special, new","[[""pacifica"", 0.5472608804702759], [""chrysler"", 0.5261552333831787], [""minivans"", 0.46689149737358093], [""minivan"", 0.4531344771385193], [""nissan"", 0.3864501714706421], [""innovations"", 0.34386032819747925], [""trunk"", 0.31200769543647766], [""tailgate"", 0.2432553619146347], [""special"", 0.19930827617645264], [""new"", 0.19187718629837036]]"
keybert,37,"lithium, battery, batteries, vehicle, car, cell, electric, drive, laptop, cells","[[""lithium"", 0.47629669308662415], [""battery"", 0.46731331944465637], [""batteries"", 0.46530210971832275], [""vehicle"", 0.3385404944419861], [""car"", 0.3285215497016907], [""cell"", 0.24722085893154144], [""electric"", 0.24299368262290955], [""drive"", 0.23900920152664185], [""laptop"", 0.236091747879982], [""cells"", 0.22683344781398773]]"
keybert,38,"nsx, acura, supercar, rlx, ilx, hybrid, vehicle, engine, car, driver","[[""nsx"", 0.6287260055541992], [""acura"", 0.5313577651977539], [""supercar"", 0.3992895483970642], [""rlx"", 0.39503762125968933], [""ilx"", 0.3687816858291626], [""hybrid"", 0.2863295078277588], [""vehicle"", 0.2646390199661255], [""engine"", 0.2644842863082886], [""car"", 0.23182596266269684], [""driver"", 0.22435252368450165]]"
keybert,39,"ev, cars, car, vehicles, promotional, northpoint, northpointe, dealer, partnership","[[""ev"", 0.4164700508117676], [""cars"", 0.3300618529319763], [""car"", 0.3108513355255127], [""vehicles"", 0.30895814299583435], [""promotional"", 0.29581117630004883], [""northpoint"", 0.2827983498573303], [""northpointe"", 0.27989742159843445], [""dealer"", 0.2773541212081909], [""partnership"", 0.2724590301513672]]"
keybert,40,"corolla, corollas, toyota, hybrid, hatchback, sedan, stylish, rear","[[""corolla"", 0.7174149751663208], [""corollas"", 0.7038716673851013], [""toyota"", 0.4624626636505127], [""hybrid"", 0.38969868421554565], [""hatchback"", 0.3389807343482971], [""sedan"", 0.3305981159210205], [""stylish"", 0.2566398084163666], [""rear"", 0.22383037209510803]]"
keybert,41,"infiniti, infinity, renault, emerging, brand, market, future, cars, start","[[""infiniti"", 0.7113253474235535], [""infinity"", 0.42473798990249634], [""renault"", 0.42410528659820557], [""emerging"", 0.3675306737422943], [""brand"", 0.3515886068344116], [""market"", 0.30337977409362793], [""future"", 0.27394986152648926], [""cars"", 0.2676873207092285], [""start"", 0.2652033567428589]]"
keybert,42,"buick, buicks, regal, brand, brands, camaro, sales, sportback, industry, customers","[[""buick"", 0.7226337194442749], [""buicks"", 0.6904730796813965], [""regal"", 0.5462142825126648], [""brand"", 0.3931475877761841], [""brands"", 0.3773452937602997], [""camaro"", 0.3223814368247986], [""sales"", 0.22251874208450317], [""sportback"", 0.20767855644226074], [""industry"", 0.20576758682727814], [""customers"", 0.18862825632095337]]"
keybert,43,"vancouver, electric, infrastructure, vehicles, transportation, emissions, cars, canada, province, city","[[""vancouver"", 0.47423404455184937], [""electric"", 0.3939855098724365], [""infrastructure"", 0.3796014189720154], [""vehicles"", 0.3647383153438568], [""transportation"", 0.3598669767379761], [""emissions"", 0.356045663356781], [""cars"", 0.3539837896823883], [""canada"", 0.3222026824951172], [""province"", 0.3099674582481384], [""city"", 0.28163862228393555]]"
keybert,44,"display, where, located, see, away, space, horizon","[[""display"", 0.3374530076980591], [""where"", 0.23971214890480042], [""located"", 0.2270696610212326], [""see"", 0.22180546820163727], [""away"", 0.21849873661994934], [""space"", 0.20729932188987732], [""horizon"", 0.20143425464630127]]"
keybert,45,"toyota, nissan, vehicle, car, cars, sedans, kix, engineering, design, exciting","[[""toyota"", 0.5943840742111206], [""nissan"", 0.5010769367218018], [""vehicle"", 0.40308883786201477], [""car"", 0.38244014978408813], [""cars"", 0.3437872529029846], [""sedans"", 0.33780089020729065], [""kix"", 0.3329920470714569], [""engineering"", 0.25378504395484924], [""design"", 0.23745673894882202], [""exciting"", 0.21628931164741516]]"
keybert,46,"hyundai, keyless, android, key, smartphone, button, car, remote, unlock, lock","[[""hyundai"", 0.5019634962081909], [""keyless"", 0.44347482919692993], [""android"", 0.33544349670410156], [""key"", 0.3313407301902771], [""smartphone"", 0.3204166889190674], [""button"", 0.3112521171569824], [""car"", 0.28931498527526855], [""remote"", 0.28636059165000916], [""unlock"", 0.2856944799423218], [""lock"", 0.2825627028942108]]"
keybert,47,"modes, mode, gearbox, drive, driving, gears, gear, settings, comfort, throttle","[[""modes"", 0.4473603367805481], [""mode"", 0.43528011441230774], [""gearbox"", 0.4119403064250946], [""drive"", 0.37613797187805176], [""driving"", 0.37387728691101074], [""gears"", 0.35511866211891174], [""gear"", 0.34945327043533325], [""settings"", 0.3313499689102173], [""comfort"", 0.3050619959831238], [""throttle"", 0.297293484210968]]"
keybert,48,"charging, i3, charge, bmw, charged, outlet, level, i5, battery, plug","[[""charging"", 0.4605259299278259], [""i3"", 0.4399206042289734], [""charge"", 0.3907472491264343], [""bmw"", 0.3489297330379486], [""charged"", 0.30875012278556824], [""outlet"", 0.21789011359214783], [""level"", 0.2142685204744339], [""i5"", 0.2053452581167221], [""battery"", 0.1967686116695404], [""plug"", 0.1733437180519104]]"
keybert,49,"q50, q30, q60, infiniti, sedan, luxurious, luxury, brand, cars, engine","[[""q50"", 0.6635036468505859], [""q30"", 0.525022566318512], [""q60"", 0.5120679140090942], [""infiniti"", 0.5025879144668579], [""sedan"", 0.3549377918243408], [""luxurious"", 0.270131915807724], [""luxury"", 0.24683110415935516], [""brand"", 0.24643105268478394], [""cars"", 0.23772409558296204], [""engine"", 0.23197942972183228]]"
keybert,50,"bmw, smartphone, i5, interface, features, car, modes, manual, driver, digital","[[""bmw"", 0.5731003284454346], [""smartphone"", 0.33893468976020813], [""i5"", 0.32760727405548096], [""interface"", 0.29789209365844727], [""features"", 0.27507397532463074], [""car"", 0.26447656750679016], [""modes"", 0.2611376643180847], [""manual"", 0.2519207000732422], [""driver"", 0.23211626708507538], [""digital"", 0.22918978333473206]]"
