stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.05,euclidean,ok,完成,56,0.27902621722846443,2980,562,450,562,0.05262172284644195,0.13052434456928838,0.9469680537202445,0.8744007490636705,5
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.05,euclidean,ok,完成,56,0.24382022471910111,2604,666,466,666,0.062359550561797754,0.1396067415730337,0.9470474519141874,0.8802247191011237,5
stage2,5,5,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,52,0.21329588014981274,2278,621,480,621,0.058146067415730335,0.1458801498127341,0.9377581147626499,0.8893913857677902,6
stage2,5,5,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,59,0.23417602996254683,2501,393,327,393,0.03679775280898876,0.09578651685393258,0.95988062518004,0.8995505617977528,6
stage2,5,5,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,55,0.24232209737827715,2588,544,497,544,0.05093632958801498,0.12930711610486892,0.9526667112019034,0.8861610486891385,6
stage2,5,5,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,58,0.24719101123595505,2640,622,479,622,0.058239700374531835,0.14147940074906368,0.9476054942444125,0.8800749063670412,6
stage2,5,5,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,55,0.2649812734082397,2830,437,394,437,0.04091760299625468,0.1051498127340824,0.9595778487403156,0.8872003745318351,6
stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.1,euclidean,ok,完成,70,0.2899812734082397,3097,325,302,325,0.030430711610486893,0.07743445692883895,0.9775868166894744,0.8883895131086141,7
stage2,5,15,0.0,cosine,123,50,5.0,leaf,0.1,euclidean,ok,完成,69,0.32144194756554306,3433,342,253,342,0.03202247191011236,0.07574906367041198,0.9739898849488925,0.8788108614232211,7
stage2,5,15,0.0,cosine,2026,50,5.0,leaf,0.1,euclidean,ok,完成,69,0.3355805243445693,3584,258,255,258,0.024157303370786518,0.07088014981273408,0.976314196626784,0.8779026217228465,7
stage2,5,15,0.0,cosine,3407,50,5.0,leaf,0.1,euclidean,ok,完成,69,0.36750936329588013,3925,257,227,257,0.024063670411985018,0.06460674157303371,0.9788874527476085,0.8696067415730337,7
stage2,5,15,0.0,cosine,20240603,50,5.0,leaf,0.1,euclidean,ok,完成,64,0.32331460674157303,3453,269,254,269,0.025187265917602997,0.06900749063670412,0.9733029253707092,0.8816479400749064,7
stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.05,euclidean,ok,完成,70,0.2899812734082397,3097,325,302,325,0.030430711610486893,0.07743445692883895,0.9775868166894744,0.8883895131086141,8
stage2,5,15,0.0,cosine,123,50,5.0,leaf,0.05,euclidean,ok,完成,69,0.32144194756554306,3433,342,253,342,0.03202247191011236,0.07574906367041198,0.9739898849488925,0.8788108614232211,8
stage2,5,15,0.0,cosine,2026,50,5.0,leaf,0.05,euclidean,ok,完成,69,0.3355805243445693,3584,258,255,258,0.024157303370786518,0.07088014981273408,0.976314196626784,0.8779026217228465,8
stage2,5,15,0.0,cosine,3407,50,5.0,leaf,0.05,euclidean,ok,完成,70,0.37640449438202245,4020,257,206,257,0.024063670411985018,0.0597378277153558,0.9805054985367047,0.8679119850187267,8
stage2,5,15,0.0,cosine,20240603,50,5.0,leaf,0.05,euclidean,ok,完成,64,0.32331460674157303,3453,269,254,269,0.025187265917602997,0.06900749063670412,0.9733029253707092,0.8816479400749064,8
stage2,5,15,0.0,cosine,42,50,5.0,leaf,0.0,euclidean,ok,完成,70,0.2899812734082397,3097,325,302,325,0.030430711610486893,0.07743445692883895,0.9775868166894744,0.8883895131086141,9
stage2,5,15,0.0,cosine,123,50,5.0,leaf,0.0,euclidean,ok,完成,69,0.32144194756554306,3433,342,253,342,0.03202247191011236,0.07574906367041198,0.9739898849488925,0.8788108614232211,9
stage2,5,15,0.0,cosine,2026,50,5.0,leaf,0.0,euclidean,ok,完成,69,0.3355805243445693,3584,258,255,258,0.024157303370786518,0.07088014981273408,0.976314196626784,0.8779026217228465,9
stage2,5,15,0.0,cosine,3407,50,5.0,leaf,0.0,euclidean,ok,完成,70,0.37640449438202245,4020,257,206,257,0.024063670411985018,0.0597378277153558,0.9805054985367047,0.8679119850187267,9
stage2,5,15,0.0,cosine,20240603,50,5.0,leaf,0.0,euclidean,ok,完成,64,0.32331460674157303,3453,269,254,269,0.025187265917602997,0.06900749063670412,0.9733029253707092,0.8816479400749064,9
stage2,5,15,0.0,cosine,42,75,5.0,eom,0.2,euclidean,ok,完成,44,0.22144194756554308,2365,621,479,621,0.058146067415730335,0.1458801498127341,0.9487625211725222,0.8869475655430712,10
stage2,5,15,0.0,cosine,123,75,5.0,eom,0.2,euclidean,ok,完成,40,0.24147940074906368,2579,1103,427,1103,0.10327715355805243,0.17752808988764046,0.9333761393933103,0.8610674157303371,10
stage2,5,15,0.0,cosine,2026,75,5.0,eom,0.2,euclidean,ok,完成,40,0.22855805243445693,2441,1050,408,1050,0.09831460674157304,0.17425093632958802,0.9339001441837949,0.8670880149812734,10
stage2,5,15,0.0,cosine,3407,75,5.0,eom,0.2,euclidean,ok,完成,39,0.29213483146067415,3120,562,558,562,0.05262172284644195,0.15159176029962546,0.9507104657972807,0.86625468164794,10
stage2,5,15,0.0,cosine,20240603,75,5.0,eom,0.2,euclidean,ok,完成,41,0.2812734082397004,3004,666,483,666,0.062359550561797754,0.15121722846441948,0.9530136099233378,0.8666666666666667,10
