umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note,rank,random_state
5,10,0.0,50,5,eom,0.1,155,0.36993302225184904,11654,51,54,842,0.02672761324318319,0.0640256483509507,4.800475076451518,0.8681966796813001,ok,,8,42
5,10,0.0,50,5,eom,0.1,141,0.3385391867441196,10665,100,52,1007,0.03196520966257182,0.09364187537694822,4.54677648142407,0.8701203060026028,ok,,8,123
5,10,0.0,50,5,eom,0.1,140,0.3239056597784338,10204,62,105,1036,0.032885756912040126,0.08453163190807225,4.580874074123107,0.8760562486112433,ok,,8,2026
5,10,0.0,50,5,eom,0.1,155,0.33476176872043933,10546,93,71,1264,0.04012316287337714,0.08599181030378059,4.739705487873451,0.8703361584610989,ok,,8,3407
5,10,0.0,50,5,eom,0.1,147,0.33107957972256613,10430,52,112,1579,0.05012221058311907,0.10532330254261499,4.5888203764227455,0.8645748023997715,ok,,8,20240603
5,5,0.05,50,5,eom,0.0,136,0.35028409992699105,11035,50,80,978,0.031044662413103514,0.08913436815541377,4.5646024361997855,0.8677744976668889,ok,,9,42
5,5,0.05,50,5,eom,0.0,155,0.40281877916388914,12690,100,51,921,0.02923531092276926,0.06885058565850871,4.771559885797664,0.8566136558423008,ok,,9,123
5,5,0.05,50,5,eom,0.0,138,0.4073897724026283,12834,66,54,791,0.025108719804463067,0.06742215027140272,4.638193387506254,0.856766022283592,ok,,9,2026
5,5,0.05,50,5,eom,0.0,132,0.3720280608196045,11720,51,57,957,0.03037805923245405,0.07754817001555407,4.562191560547106,0.8637685299812716,ok,,9,3407
5,5,0.05,50,5,eom,0.0,139,0.42046789194679873,13246,89,52,1005,0.03190172364536711,0.06256546995524236,4.6765052695933065,0.8517760213313017,ok,,9,20240603
5,5,0.05,50,5,eom,0.05,136,0.35028409992699105,11035,50,80,978,0.031044662413103514,0.08913436815541377,4.5646024361997855,0.8677744976668889,ok,,10,42
5,5,0.05,50,5,eom,0.05,155,0.40281877916388914,12690,100,51,921,0.02923531092276926,0.06885058565850871,4.771559885797664,0.8566136558423008,ok,,10,123
5,5,0.05,50,5,eom,0.05,138,0.4073897724026283,12834,66,54,791,0.025108719804463067,0.06742215027140272,4.638193387506254,0.856766022283592,ok,,10,2026
5,5,0.05,50,5,eom,0.05,132,0.3720280608196045,11720,51,57,957,0.03037805923245405,0.07754817001555407,4.562191560547106,0.8637685299812716,ok,,10,3407
5,5,0.05,50,5,eom,0.05,139,0.42046789194679873,13246,89,52,1005,0.03190172364536711,0.06256546995524236,4.6765052695933065,0.8517760213313017,ok,,10,20240603
