umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,5,0.0,200,,eom,0.0,12,0.4553534584007872,14345,772,876,3943,0.125162682919087,0.3061930609783195,2.2341798322100725,0.6446065454083738,ok,
5,5,0.0,200,10.0,eom,0.0,35,0.3811383042884804,12007,339,347,1880,0.059676856172428,0.1480493921213852,3.3433861411200345,0.8381455734374506,ok,
5,5,0.0,200,30.0,eom,0.0,30,0.4011363997079643,12637,304,224,1779,0.0564708123035901,0.1617623718376027,3.1422563298226205,0.830365362029013,ok,
5,5,0.0,225,,eom,0.0,13,0.4776370504396406,15047,777,874,3569,0.1132907977018061,0.2940354886836174,2.279188837364532,0.6505812144875092,ok,
5,5,0.0,225,10.0,eom,0.0,28,0.4071993143510142,12828,339,347,1880,0.059676856172428,0.1480493921213852,3.159695864333886,0.816993937085357,ok,
5,5,0.0,225,30.0,eom,0.0,25,0.4278640129511475,13479,304,975,1779,0.0564708123035901,0.1617623718376027,3.0036956152845304,0.7890137447227248,ok,
5,5,0.0,250,,eom,0.0,13,0.5360441862679745,16887,789,872,2850,0.0904675745167127,0.2307081865219185,2.3413900528896154,0.6525715011268769,ok,
5,5,0.0,250,10.0,eom,0.0,25,0.4075484874456401,12839,339,347,1880,0.059676856172428,0.1480493921213852,3.0831568040473534,0.7968891851569693,ok,
5,5,0.0,250,30.0,eom,0.0,20,0.4259594324350061,13419,304,975,1779,0.0564708123035901,0.1622385169666381,2.8346859290700124,0.7561565565184267,ok,
5,5,0.0,300,,eom,0.0,2,0.0718979144843348,2265,992,28246,28246,0.8966130209821287,0.9281020855156652,0.1481432131143279,0.3371596355902612,ok,
5,5,0.0,300,10.0,eom,0.0,20,0.3763768529981272,11857,339,347,3906,0.1239881916007999,0.2374377043456178,2.771451391388672,0.7357362790845315,ok,
5,5,0.0,300,30.0,eom,0.0,6,0.1405897850998317,4429,304,22752,22752,0.7222169317207885,0.8046217820525029,0.6738985693170341,0.4202336285433133,ok,
5,5,0.05,50,,eom,0.0,68,0.4131987429768593,13017,72,64,2924,0.0928165571532869,0.1963939942227724,3.499586446567131,0.8089166111164017,ok,
5,5,0.05,50,10.0,eom,0.0,124,0.3957400882455639,12467,50,80,975,0.0309494333872964,0.0829762244865568,4.474419693221246,0.8553978986128306,ok,
5,5,0.05,50,30.0,eom,0.0,101,0.4561152906072437,14369,50,72,1751,0.0555820080627241,0.1051963305082055,4.174393654444019,0.8254515442973684,ok,
5,5,0.05,75,,eom,0.0,4,0.0651683966606355,2053,91,82,29152,0.9253721867758626,0.9322286766339714,0.0674927887445401,0.3430587563089229,ok,
5,5,0.05,75,10.0,eom,0.0,6,0.0523442211852839,1649,80,77,29399,0.9332127099006444,0.9400691997587532,0.1031505031694384,0.3563190807224708,ok,
5,5,0.05,75,30.0,eom,0.0,5,0.0543757737358346,1713,77,91,29415,0.933720598038282,0.9405770878963908,0.0847936002222236,0.3487890042218201,ok,
5,5,0.05,100,,eom,0.0,2,0.0732311208456337,2307,125,29071,29071,0.922801003079072,0.9267688791543662,0.0276207763453468,0.3291699203250484,ok,
5,5,0.05,100,10.0,eom,0.0,2,0.0584706218455385,1842,125,29536,29536,0.9375615020791672,0.9415293781544616,0.0272544944662658,0.3262178205250293,ok,
5,5,0.05,100,30.0,eom,0.0,2,0.0623115258864235,1963,125,29415,29415,0.933720598038282,0.9376884741135764,0.0273487984635081,0.3269860013332062,ok,
5,5,0.05,125,,eom,0.0,25,0.562359140399327,17716,168,136,1537,0.0487890042218201,0.1196711424308796,3.001561331242942,0.7593879947941466,ok,
5,5,0.05,125,10.0,eom,0.0,2,0.0584706218455385,1842,125,29536,29536,0.9375615020791672,0.9415293781544616,0.0272544944662658,0.3262178205250293,ok,
5,5,0.05,125,30.0,eom,0.0,2,0.0623115258864235,1963,125,29415,29415,0.933720598038282,0.9376884741135764,0.0273487984635081,0.3269860013332062,ok,
5,5,0.05,150,,eom,0.0,21,0.5721994730660572,18026,154,862,2599,0.0825000793575215,0.1474145319493381,2.7884648190820305,0.7141072278830587,ok,
5,5,0.05,150,10.0,eom,0.0,38,0.420944037075834,13261,255,216,1716,0.0544710027616417,0.1170682157254864,3.430466204742523,0.8339618449036601,ok,
5,5,0.05,150,30.0,eom,0.0,34,0.4766212741643653,15015,236,216,1873,0.0594546551122115,0.1415103323493,3.255683045487602,0.8108751547471669,ok,
5,5,0.05,175,,eom,0.0,18,0.5927054566231788,18672,860,208,2140,0.0679300384090404,0.1475732469923499,2.700529355412615,0.6922947020918643,ok,
5,5,0.05,175,10.0,eom,0.0,36,0.4253245722629591,13399,255,216,1520,0.0482493730755801,0.1163063835190299,3.3951396049776674,0.8346665396946322,ok,
5,5,0.05,175,30.0,eom,0.0,30,0.4622416912674983,14562,236,216,1873,0.0594546551122115,0.1552550550741199,3.1459367115814856,0.812440085071263,ok,
5,5,0.05,200,,eom,0.0,13,0.5821985207757991,18341,858,2865,2865,0.090943719645748,0.2127733866615878,2.3031564066631587,0.6421693172078851,ok,
5,5,0.05,200,10.0,eom,0.0,33,0.4184045963876456,13181,255,216,1716,0.0544710027616417,0.1343681554137701,3.296998495760337,0.8312636891724599,ok,
5,5,0.05,200,30.0,eom,0.0,25,0.4820175856267657,15185,236,216,1873,0.0594546551122115,0.1552550550741199,3.0082687569874698,0.7731739834301496,ok,
5,5,0.05,225,,eom,0.0,11,0.6017204710662477,18956,858,2878,2878,0.0913563787575786,0.2179157540551693,2.174726565668516,0.6218271275751516,ok,
5,5,0.05,225,10.0,eom,0.0,29,0.4452909246738405,14028,255,367,1716,0.0544710027616417,0.1343681554137701,3.1932963514410786,0.8165311240199347,ok,
5,5,0.05,225,30.0,eom,0.0,21,0.4783988826460972,15071,236,923,1873,0.0594546551122115,0.1552550550741199,2.8909149974005586,0.7475929276576835,ok,
5,5,0.05,250,,eom,0.0,11,0.5937212328984541,18704,858,2873,2873,0.0911976637145668,0.2312160746595562,2.1615603186284567,0.6216144494175159,ok,
5,5,0.05,250,10.0,eom,0.0,23,0.4741135764847792,14936,255,367,1716,0.0544710027616417,0.139002634669714,3.007379564327465,0.7669574326254642,ok,
5,5,0.05,250,30.0,eom,0.0,20,0.485890232676253,15307,923,298,1873,0.0594546551122115,0.1552550550741199,2.8567444910741235,0.7386788559819699,ok,
5,5,0.05,300,,eom,0.0,10,0.5773100974510365,18187,760,861,3294,0.1045614703361584,0.2594990953242548,2.0660811582426897,0.6102053772656573,ok,
5,5,0.05,300,10.0,eom,0.0,21,0.479636859981589,15110,367,975,1716,0.0544710027616417,0.139002634669714,2.9389971542768283,0.751967114243088,ok,
5,5,0.05,300,30.0,eom,0.0,18,0.4876995841665873,15364,923,330,1873,0.0594546551122115,0.1569056915214424,2.7618111063544326,0.7244725899120719,ok,
5,5,0.1,50,,eom,0.0,9,0.0453925023013681,1430,51,59,29608,0.9398469986985366,0.9445132209630828,0.1116834394003547,0.375525505507412,ok,
