umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,10,0.0,75,30.0,eom,0.1,62,0.3820271085293464,12035,75,122,1732,0.0549788908992794,0.1610005396311462,3.639296774172695,0.836698092245183,ok,
5,10,0.0,75,30.0,eom,0.2,62,0.3820271085293464,12035,75,122,1732,0.0549788908992794,0.1610005396311462,3.639296774172695,0.836698092245183,ok,
5,10,0.0,75,30.0,leaf,0.0,83,0.5489953337777355,17295,75,122,588,0.0186648890581849,0.0504078976605402,4.266538024039815,0.8196203536171158,ok,
5,10,0.0,75,30.0,leaf,0.05,83,0.5489953337777355,17295,75,122,588,0.0186648890581849,0.0504078976605402,4.266538024039815,0.8196203536171158,ok,
5,10,0.0,75,30.0,leaf,0.1,83,0.5489953337777355,17295,75,122,588,0.0186648890581849,0.0504078976605402,4.266538024039815,0.8196203536171158,ok,
5,10,0.0,75,30.0,leaf,0.2,77,0.489731136717138,15428,75,122,926,0.029394025965781,0.0745643272069326,4.094742716724331,0.8293495857537379,ok,
5,10,0.0,75,50.0,eom,0.0,54,0.3775830873250166,11895,75,122,2984,0.0947211376694283,0.200107926229248,3.420768072134372,0.8182871472558169,ok,
5,10,0.0,75,50.0,eom,0.05,54,0.3775830873250166,11895,75,122,2984,0.0947211376694283,0.200107926229248,3.420768072134372,0.8182871472558169,ok,
5,10,0.0,75,50.0,eom,0.1,54,0.3775830873250166,11895,75,122,2984,0.0947211376694283,0.200107926229248,3.420768072134372,0.8182871472558169,ok,
5,10,0.0,75,50.0,eom,0.2,54,0.3775830873250166,11895,75,122,2984,0.0947211376694283,0.200107926229248,3.420768072134372,0.8182871472558169,ok,
5,10,0.0,75,50.0,leaf,0.0,74,0.5890867536425103,18558,75,122,596,0.0189188331270037,0.0524077072024886,4.138981958346996,0.807116782528648,ok,
5,10,0.0,75,50.0,leaf,0.05,74,0.5890867536425103,18558,75,122,596,0.0189188331270037,0.0524077072024886,4.138981958346996,0.807116782528648,ok,
5,10,0.0,75,50.0,leaf,0.1,74,0.5890867536425103,18558,75,122,596,0.0189188331270037,0.0524077072024886,4.138981958346996,0.807116782528648,ok,
5,10,0.0,75,50.0,leaf,0.2,73,0.5655651842681649,17817,75,122,919,0.0291718249055645,0.0652953686950449,4.083564039263194,0.8085198235088722,ok,
5,10,0.0,75,75.0,eom,0.0,50,0.4616385741040535,14543,122,76,1605,0.0509475288067803,0.1468749008030981,3.437640768368524,0.8168491889661302,ok,
5,10,0.0,75,75.0,eom,0.05,50,0.4616385741040535,14543,122,76,1605,0.0509475288067803,0.1468749008030981,3.437640768368524,0.8168491889661302,ok,
5,10,0.0,75,75.0,eom,0.1,50,0.4616385741040535,14543,122,76,1605,0.0509475288067803,0.1468749008030981,3.437640768368524,0.8168491889661302,ok,
5,10,0.0,75,75.0,eom,0.2,50,0.4616385741040535,14543,122,76,1605,0.0509475288067803,0.1468749008030981,3.437640768368524,0.8168491889661302,ok,
5,10,0.0,75,75.0,leaf,0.0,62,0.6166079421007523,19425,122,76,836,0.026537155191569,0.0690727867187252,3.874501341000848,0.7932419134685584,ok,
5,10,0.0,75,75.0,leaf,0.05,62,0.6166079421007523,19425,122,76,836,0.026537155191569,0.0690727867187252,3.874501341000848,0.7932419134685584,ok,
5,10,0.0,75,75.0,leaf,0.1,62,0.6166079421007523,19425,122,76,836,0.026537155191569,0.0690727867187252,3.874501341000848,0.7932419134685584,ok,
5,10,0.0,75,75.0,leaf,0.2,62,0.6166079421007523,19425,122,76,836,0.026537155191569,0.0690727867187252,3.874501341000848,0.7932419134685584,ok,
5,10,0.0,75,100.0,eom,0.0,38,0.444973494587817,14018,122,988,3100,0.0984033266673015,0.1786179094054534,3.111942446060313,0.8012633717423738,ok,
5,10,0.0,75,100.0,eom,0.05,38,0.444973494587817,14018,122,988,3100,0.0984033266673015,0.1786179094054534,3.111942446060313,0.8012633717423738,ok,
5,10,0.0,75,100.0,eom,0.1,38,0.444973494587817,14018,122,988,3100,0.0984033266673015,0.1786179094054534,3.111942446060313,0.8012633717423738,ok,
5,10,0.0,75,100.0,eom,0.2,38,0.444973494587817,14018,122,988,3100,0.0984033266673015,0.1786179094054534,3.111942446060313,0.8012633717423738,ok,
5,10,0.0,75,100.0,leaf,0.0,48,0.6267339618449037,19744,122,988,1350,0.0428530616131797,0.0999904770974192,3.5271128238363403,0.7791257975430912,ok,
5,10,0.0,75,100.0,leaf,0.05,48,0.6267339618449037,19744,122,988,1350,0.0428530616131797,0.0999904770974192,3.5271128238363403,0.7791257975430912,ok,
5,10,0.0,75,100.0,leaf,0.1,48,0.6267339618449037,19744,122,988,1350,0.0428530616131797,0.0999904770974192,3.5271128238363403,0.7791257975430912,ok,
5,10,0.0,75,100.0,leaf,0.2,48,0.6267339618449037,19744,122,988,1350,0.0428530616131797,0.0999904770974192,3.5271128238363403,0.7791257975430912,ok,
5,10,0.0,100,,eom,0.0,34,0.4514808113512998,14223,122,988,3100,0.0984033266673015,0.1815700092054725,3.045522634282484,0.798720756753325,ok,
5,10,0.0,100,,eom,0.05,34,0.4514808113512998,14223,122,988,3100,0.0984033266673015,0.1815700092054725,3.045522634282484,0.798720756753325,ok,
5,10,0.0,100,,eom,0.1,34,0.4514808113512998,14223,122,988,3100,0.0984033266673015,0.1815700092054725,3.045522634282484,0.798720756753325,ok,
5,10,0.0,100,,eom,0.2,34,0.4514808113512998,14223,122,988,3100,0.0984033266673015,0.1815700092054725,3.045522634282484,0.798720756753325,ok,
5,10,0.0,100,,leaf,0.0,38,0.5309970479002,16728,122,988,1485,0.0471383677744976,0.1303050503126686,3.2761475975690764,0.800498365235057,ok,
5,10,0.0,100,,leaf,0.05,38,0.5309970479002,16728,122,988,1485,0.0471383677744976,0.1303050503126686,3.2761475975690764,0.800498365235057,ok,
5,10,0.0,100,,leaf,0.1,38,0.5309970479002,16728,122,988,1485,0.0471383677744976,0.1303050503126686,3.2761475975690764,0.800498365235057,ok,
5,10,0.0,100,,leaf,0.2,38,0.5309970479002,16728,122,988,1485,0.0471383677744976,0.1303050503126686,3.2761475975690764,0.800498365235057,ok,
5,10,0.0,100,5.0,eom,0.0,69,0.4077706885058565,12846,122,139,925,0.0293622829571786,0.0826905374091356,3.984210203376244,0.8523220010792623,ok,
5,10,0.0,100,5.0,eom,0.05,69,0.4077706885058565,12846,122,139,925,0.0293622829571786,0.0826905374091356,3.984210203376244,0.8523220010792623,ok,
5,10,0.0,100,5.0,eom,0.1,69,0.4077706885058565,12846,122,139,925,0.0293622829571786,0.0826905374091356,3.984210203376244,0.8523220010792623,ok,
5,10,0.0,100,5.0,eom,0.2,53,0.3253340951655398,10249,122,139,2852,0.0905310605339174,0.180363774878583,3.483180253300484,0.8391676983144463,ok,
5,10,0.0,100,5.0,leaf,0.0,80,0.4845887693235565,15266,122,139,642,0.0203790115227121,0.0576770466304796,4.235644589902911,0.8369742564200235,ok,
5,10,0.0,100,5.0,leaf,0.05,80,0.4845887693235565,15266,122,139,642,0.0203790115227121,0.0576770466304796,4.235644589902911,0.8369742564200235,ok,
5,10,0.0,100,5.0,leaf,0.1,80,0.4845887693235565,15266,122,139,642,0.0203790115227121,0.0576770466304796,4.235644589902911,0.8369742564200235,ok,
5,10,0.0,100,5.0,leaf,0.2,53,0.3253340951655398,10249,122,139,2852,0.0905310605339174,0.180363774878583,3.483180253300484,0.8391676983144463,ok,
5,10,0.0,100,10.0,eom,0.0,57,0.3617433260324413,11396,122,133,1722,0.0546614608132558,0.1357648477922737,3.696769822339344,0.8479255943878361,ok,
5,10,0.0,100,10.0,eom,0.05,57,0.3617433260324413,11396,122,133,1722,0.0546614608132558,0.1357648477922737,3.696769822339344,0.8479255943878361,ok,
5,10,0.0,100,10.0,eom,0.1,57,0.3617433260324413,11396,122,133,1722,0.0546614608132558,0.1357648477922737,3.696769822339344,0.8479255943878361,ok,
5,10,0.0,100,10.0,eom,0.2,54,0.344824302447386,10863,122,133,1722,0.0546614608132558,0.1507792908611878,3.612551227233279,0.8499984128495699,ok,
