stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stability,5,5,0.0,cosine,42,50,5,eom,0.05,euclidean,42,0.28761991777067153,3148,50,75,730,0.06669712197350389,0.1847418912745546,0.9186025704206143,0.8567565098218364,ok,完成
stability,5,5,0.0,cosine,123,50,5,eom,0.05,euclidean,43,0.31146642302421196,3409,73,74,1740,0.15897670169026953,0.24604842393787119,0.8578559553401499,0.8096573777980813,ok,完成
stability,5,5,0.0,cosine,2026,50,5,eom,0.05,euclidean,29,0.18446779351301965,2019,71,83,3022,0.27610781178620375,0.441662859753312,0.7427230480030734,0.7734947464595705,ok,完成
stability,5,5,0.0,cosine,3407,50,5,eom,0.05,euclidean,37,0.27446322521699407,3004,122,78,1123,0.102603928734582,0.207035175879397,0.898006773762171,0.8454728186386478,ok,完成
stability,5,5,0.0,cosine,20240603,50,5,eom,0.05,euclidean,39,0.3033348560986752,3320,78,78,614,0.056098675194152584,0.1613522156235724,0.9259053208610317,0.8598994974874372,ok,完成
stability,5,5,0.0,cosine,42,50,5,eom,0.1,euclidean,42,0.28761991777067153,3148,50,75,730,0.06669712197350389,0.1847418912745546,0.9186025704206143,0.8567565098218364,ok,完成
stability,5,5,0.0,cosine,123,50,5,eom,0.1,euclidean,43,0.31146642302421196,3409,73,74,1740,0.15897670169026953,0.24604842393787119,0.8578559553401499,0.8096573777980813,ok,完成
stability,5,5,0.0,cosine,2026,50,5,eom,0.1,euclidean,29,0.18446779351301965,2019,71,83,3022,0.27610781178620375,0.441662859753312,0.7427230480030734,0.7734947464595705,ok,完成
stability,5,5,0.0,cosine,3407,50,5,eom,0.1,euclidean,37,0.27446322521699407,3004,122,78,1123,0.102603928734582,0.207035175879397,0.898006773762171,0.8454728186386478,ok,完成
stability,5,5,0.0,cosine,20240603,50,5,eom,0.1,euclidean,39,0.3033348560986752,3320,78,78,614,0.056098675194152584,0.1613522156235724,0.9259053208610317,0.8598994974874372,ok,完成
stability,5,15,0.0,cosine,42,50,5,leaf,0.2,euclidean,40,0.2929191411603472,3206,50,75,763,0.0697121973503883,0.17332115121059843,0.9129158104845163,0.8565463682046597,ok,完成
stability,5,15,0.0,cosine,123,50,5,leaf,0.2,euclidean,43,0.34810415714938325,3810,73,75,586,0.0535404294198264,0.1446322521699406,0.9120394544554271,0.850580173595249,ok,完成
stability,5,15,0.0,cosine,2026,50,5,leaf,0.2,euclidean,38,0.3068981269986295,3359,72,84,694,0.06340794883508451,0.18391959798994975,0.8813207592294873,0.8521242576518959,ok,完成
stability,5,15,0.0,cosine,3407,50,5,leaf,0.2,euclidean,42,0.3254454088624943,3562,77,86,587,0.05363179534033805,0.1451804476930105,0.929432253554264,0.8572407492005483,ok,完成
stability,5,15,0.0,cosine,20240603,50,5,leaf,0.2,euclidean,36,0.29492919141160345,3228,78,79,624,0.057012334399269074,0.16089538602101416,0.9239334466350693,0.8622384650525354,ok,完成
stability,5,15,0.0,cosine,42,50,5,eom,0.2,euclidean,35,0.24595705801735954,2692,50,75,981,0.08962996802192782,0.21946094106898126,0.8975381170940316,0.8554317039744175,ok,完成
stability,5,15,0.0,cosine,123,50,5,eom,0.2,euclidean,37,0.2886249428962997,3159,73,75,1753,0.16016445865692097,0.2880767473732298,0.8352502575453427,0.8077478300593879,ok,完成
stability,5,15,0.0,cosine,2026,50,5,eom,0.2,euclidean,26,0.21297396071265418,2331,72,84,2883,0.2634079488350845,0.39022384650525355,0.7722749838383479,0.7790406578346276,ok,完成
stability,5,15,0.0,cosine,3407,50,5,eom,0.2,euclidean,37,0.2807674737322979,3073,77,86,932,0.08515303791685701,0.20475102786660576,0.894000887661686,0.8492736409319324,ok,完成
stability,5,15,0.0,cosine,20240603,50,5,eom,0.2,euclidean,36,0.29492919141160345,3228,78,79,624,0.057012334399269074,0.16089538602101416,0.9239334466350693,0.8622384650525354,ok,完成
stability,5,5,0.0,cosine,42,75,5,leaf,0.2,euclidean,32,0.2698949291914116,2954,75,76,856,0.07820922795797168,0.2023755139333029,0.9186268551516182,0.8550936500685244,ok,完成
