stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stage2,5,5,0.05,cosine,42,75,5,leaf,0.05,euclidean,37,0.4283234353586112,4688,75,85,509,0.04650525354042942,0.12087711283691183,0.9561422550356412,0.8333759707629054,ok,完成
stage2,5,5,0.05,cosine,42,75,5,leaf,0.1,euclidean,37,0.4283234353586112,4688,75,85,509,0.04650525354042942,0.12087711283691183,0.9561422550356412,0.8333759707629054,ok,完成
stage2,5,5,0.05,cosine,42,75,5,leaf,0.2,euclidean,32,0.3513933302878027,3846,75,85,703,0.06423024211968936,0.16418455915943353,0.9357739931864416,0.8424760164458656,ok,完成
stage2,5,5,0.05,cosine,42,75,10,eom,0.0,euclidean,29,0.37222476016445866,4074,75,85,580,0.05299223389675651,0.146094106898127,0.9373849419953243,0.8432160804020099,ok,完成
stage2,5,5,0.05,cosine,42,75,10,eom,0.05,euclidean,29,0.37222476016445866,4074,75,85,580,0.05299223389675651,0.146094106898127,0.9373849419953243,0.8432160804020099,ok,完成
stage2,5,5,0.05,cosine,42,75,10,eom,0.1,euclidean,29,0.37222476016445866,4074,75,85,580,0.05299223389675651,0.146094106898127,0.9373849419953243,0.8432160804020099,ok,完成
stage2,5,5,0.05,cosine,42,75,10,eom,0.2,euclidean,29,0.37222476016445866,4074,75,85,580,0.05299223389675651,0.146094106898127,0.9373849419953243,0.8432160804020099,ok,完成
stage2,5,5,0.05,cosine,42,75,10,leaf,0.0,euclidean,33,0.47108268615806304,5156,75,85,486,0.04440383736866149,0.1269986295111923,0.9493175153751269,0.8199543170397441,ok,完成
stage2,5,5,0.05,cosine,42,75,10,leaf,0.05,euclidean,33,0.47108268615806304,5156,75,85,486,0.04440383736866149,0.1269986295111923,0.9493175153751269,0.8199543170397441,ok,完成
stage2,5,5,0.05,cosine,42,75,10,leaf,0.1,euclidean,33,0.47108268615806304,5156,75,85,486,0.04440383736866149,0.1269986295111923,0.9493175153751269,0.8199543170397441,ok,完成
stage2,5,5,0.05,cosine,42,75,10,leaf,0.2,euclidean,33,0.47108268615806304,5156,75,85,486,0.04440383736866149,0.1269986295111923,0.9493175153751269,0.8199543170397441,ok,完成
stage2,5,5,0.05,cosine,42,75,15,eom,0.0,euclidean,26,0.4021014161717679,4401,75,91,630,0.05756052992233897,0.15477386934673368,0.9418610591800484,0.8311466423024212,ok,完成
stage2,5,5,0.05,cosine,42,75,15,eom,0.05,euclidean,26,0.4021014161717679,4401,75,91,630,0.05756052992233897,0.15477386934673368,0.9418610591800484,0.8311466423024212,ok,完成
stage2,5,5,0.05,cosine,42,75,15,eom,0.1,euclidean,26,0.4021014161717679,4401,75,91,630,0.05756052992233897,0.15477386934673368,0.9418610591800484,0.8311466423024212,ok,完成
stage2,5,5,0.05,cosine,42,75,15,eom,0.2,euclidean,26,0.4021014161717679,4401,75,91,630,0.05756052992233897,0.15477386934673368,0.9418610591800484,0.8311466423024212,ok,完成
stage2,5,5,0.05,cosine,42,75,15,leaf,0.0,euclidean,28,0.4305162174508908,4712,75,91,566,0.05171311100959342,0.1412517131110096,0.94366271908142,0.8270808588396528,ok,完成
stage2,5,5,0.05,cosine,42,75,15,leaf,0.05,euclidean,28,0.4305162174508908,4712,75,91,566,0.05171311100959342,0.1412517131110096,0.94366271908142,0.8270808588396528,ok,完成
stage2,5,5,0.05,cosine,42,75,15,leaf,0.1,euclidean,28,0.4305162174508908,4712,75,91,566,0.05171311100959342,0.1412517131110096,0.94366271908142,0.8270808588396528,ok,完成
stage2,5,5,0.05,cosine,42,75,15,leaf,0.2,euclidean,28,0.4305162174508908,4712,75,91,566,0.05171311100959342,0.1412517131110096,0.94366271908142,0.8270808588396528,ok,完成
stage2,5,5,0.05,cosine,42,75,30,eom,0.0,euclidean,23,0.4118775696665144,4508,75,85,1390,0.1269986295111923,0.2422110552763819,0.8768429891210449,0.7738949291914117,ok,完成
stage2,5,5,0.05,cosine,42,75,30,eom,0.05,euclidean,23,0.4118775696665144,4508,75,85,1390,0.1269986295111923,0.2422110552763819,0.8768429891210449,0.7738949291914117,ok,完成
stage2,5,5,0.05,cosine,42,75,30,eom,0.1,euclidean,23,0.4118775696665144,4508,75,85,1390,0.1269986295111923,0.2422110552763819,0.8768429891210449,0.7738949291914117,ok,完成
stage2,5,5,0.05,cosine,42,75,30,eom,0.2,euclidean,23,0.4118775696665144,4508,75,85,1390,0.1269986295111923,0.2422110552763819,0.8768429891210449,0.7738949291914117,ok,完成
stage2,5,5,0.05,cosine,42,75,30,leaf,0.0,euclidean,27,0.5154865235267245,5642,75,85,573,0.052352672453174966,0.14234810415714938,0.9365693749974733,0.8011786203746003,ok,完成
stage2,5,5,0.05,cosine,42,75,30,leaf,0.05,euclidean,27,0.5154865235267245,5642,75,85,573,0.052352672453174966,0.14234810415714938,0.9365693749974733,0.8011786203746003,ok,完成
stage2,5,5,0.05,cosine,42,75,30,leaf,0.1,euclidean,27,0.5154865235267245,5642,75,85,573,0.052352672453174966,0.14234810415714938,0.9365693749974733,0.8011786203746003,ok,完成
stage2,5,5,0.05,cosine,42,75,30,leaf,0.2,euclidean,27,0.5154865235267245,5642,75,85,573,0.052352672453174966,0.14234810415714938,0.9365693749974733,0.8011786203746003,ok,完成
