representation_model,topic,words,weighted_words
mmr,28,"mustang, mach, was, mustangs, ford, proportions","[[""mustang"", 0.09919995893411579], [""mach"", 0.03704424530368563], [""was"", 0.017419369330949265], [""mustangs"", 0.014507778476009744], [""ford"", 0.012539011467921322], [""proportions"", 0.008106043841185425]]"
mmr,29,"they, because, products, different, customer, student, culture","[[""they"", 0.02254113762672935], [""because"", 0.015430611651527424], [""products"", 0.01226735617326149], [""different"", 0.012191684413735707], [""customer"", 0.011879457003893439], [""student"", 0.011643860746268683], [""culture"", 0.010804665801479577]]"
mmr,30,"eqs, eqe, eq, mercedes, electric, luxury, car, amg, performance","[[""eqs"", 0.06620375908316019], [""eqe"", 0.04317108353903899], [""eq"", 0.0395097156973547], [""mercedes"", 0.02926354352276292], [""electric"", 0.0168673162355923], [""luxury"", 0.009642595675956154], [""car"", 0.00877007570904693], [""amg"", 0.008760242019361904], [""performance"", 0.007964584609008094]]"
mmr,31,"horsepower, cylinder, transmission, torque, liters, estimated, elantra, mpg, clutch, v8","[[""horsepower"", 0.0434009837769901], [""cylinder"", 0.02942620469529921], [""transmission"", 0.01583475306704986], [""torque"", 0.013149196306855264], [""liters"", 0.012970427532211047], [""estimated"", 0.012766522581111793], [""elantra"", 0.011830620296827445], [""mpg"", 0.011828494179292858], [""clutch"", 0.011453595848551818], [""v8"", 0.011049804260597134]]"
mmr,32,"design, sketch, clay, so, started, art, future","[[""design"", 0.024254797743314745], [""sketch"", 0.02234691388744199], [""clay"", 0.022018492970901683], [""so"", 0.011735272332830619], [""started"", 0.010841047911407374], [""art"", 0.009437265516852585], [""future"", 0.00925686121507714]]"
mmr,33,"hour, kilometers, kilowatt, electric, driving, speed, charging, highway","[[""hour"", 0.025814256158538693], [""kilometers"", 0.018729223657161398], [""kilowatt"", 0.01824836309911458], [""electric"", 0.015374462482790861], [""driving"", 0.012820197374334428], [""speed"", 0.011235785660033677], [""charging"", 0.010856773295951212], [""highway"", 0.010686181461709587]]"
mmr,34,"auto, season, angeles, 2015","[[""auto"", 0.03740396674302166], [""season"", 0.015310215906892782], [""angeles"", 0.013880794553414424], [""2015"", 0.011498786527491955]]"
mmr,35,"volvo, s60, car, new, graphic, care, world, design","[[""volvo"", 0.06662847438280273], [""s60"", 0.060902267623680395], [""car"", 0.015453682067411038], [""new"", 0.013221208802802418], [""graphic"", 0.009437918493778239], [""care"", 0.009146907693450071], [""world"", 0.008878558136904137], [""design"", 0.008086077107234742]]"
mmr,36,"interior, inside, design, top, materials, about, panel, see, beautiful","[[""interior"", 0.062368409023088225], [""inside"", 0.014989336868326809], [""design"", 0.014225953547894556], [""top"", 0.011656797418013938], [""materials"", 0.009582943345960845], [""about"", 0.009218718008938632], [""panel"", 0.008688336476550845], [""see"", 0.008685244926105395], [""beautiful"", 0.008309557033059191]]"
mmr,37,"lights, rear, laser, headlights, taillights, car, beam","[[""lights"", 0.028649339227146107], [""rear"", 0.023096447924357902], [""laser"", 0.0226679349123099], [""headlights"", 0.01731698740904441], [""taillights"", 0.014015138126184167], [""car"", 0.009955126855857564], [""beam"", 0.009661338040299209]]"
mmr,38,"highlander, available, standard, hybrid, seats, interior, moonroof, suv","[[""highlander"", 0.08859220310679584], [""available"", 0.022623420990923383], [""standard"", 0.022344601772761954], [""hybrid"", 0.020977951637909723], [""seats"", 0.01417775485419897], [""interior"", 0.012361754898857056], [""moonroof"", 0.01195994028950837], [""suv"", 0.011807000415493802]]"
mmr,39,"amg, racing, door, steering, coupe, roadster, mercedes, buttons, gt4, features","[[""amg"", 0.09943548940933923], [""racing"", 0.016713004801202285], [""door"", 0.015131126169156645], [""steering"", 0.015105588427283559], [""coupe"", 0.013279619641366185], [""roadster"", 0.012344997989392379], [""mercedes"", 0.011414561588839014], [""buttons"", 0.011328135582422018], [""gt4"", 0.010264139131402613], [""features"", 0.009802341158377895]]"
mmr,40,"saturn, market, sales, brand, industry, growth, products, motors, 2008, mexico","[[""saturn"", 0.04174454361564538], [""market"", 0.02568947699695537], [""sales"", 0.0220804781059215], [""brand"", 0.018964856938323064], [""industry"", 0.01618696350648259], [""growth"", 0.010948929843484197], [""products"", 0.010929454623399866], [""motors"", 0.01090808390837924], [""2008"", 0.010891315894564702], [""mexico"", 0.010654443786994053]]"
mmr,41,"audi, a3, a6, 2019, quattro, design, q5, prestige, q3, sedan","[[""audi"", 0.09525714979229767], [""a3"", 0.027948533686213913], [""a6"", 0.026891519941936705], [""2019"", 0.014962982258790048], [""quattro"", 0.013235454292970641], [""design"", 0.011059060732915049], [""q5"", 0.010756607976774683], [""prestige"", 0.01067139343760811], [""q3"", 0.009582851803286076], [""sedan"", 0.009579587427347535]]"
mmr,42,"grille, hood, design, headlights, look, car, chrome","[[""grille"", 0.04632138923523204], [""hood"", 0.028748917730560895], [""design"", 0.019781835042599557], [""headlights"", 0.013992275757134798], [""look"", 0.012485590525415194], [""car"", 0.012400902565457273], [""chrome"", 0.0100771956447239]]"
mmr,43,"crown, toyota, platinum, generation, performance, tnga, flagship, heated, premium","[[""crown"", 0.12052675164673217], [""toyota"", 0.040224061112758426], [""platinum"", 0.0169381595951937], [""generation"", 0.01464267642853029], [""performance"", 0.013664510930612243], [""tnga"", 0.011074285302367093], [""flagship"", 0.010099349305249044], [""heated"", 0.009878474990270647], [""premium"", 0.009723875284109444]]"
