stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score
stage1,5,5,0.05,cosine,42,50,,eom,0.0,euclidean,ok,完成,82,0.5349812543686853,16838,52,77,913,0.029008070153142277,0.07421999110376819,0.9223386192599993,0.8159592044226982
stage1,5,5,0.05,cosine,42,50,10.0,eom,0.0,euclidean,ok,完成,130,0.42463620766346827,13365,77,52,951,0.030215415898837136,0.06459299739467497,0.9454143850556885,0.8506259134523735
stage1,5,5,0.05,cosine,42,50,30.0,eom,0.0,euclidean,ok,完成,99,0.49246997521763997,15500,52,77,984,0.03126390036220372,0.08149583783440299,0.9253553612759313,0.8265806697591662
stage1,5,5,0.05,cosine,42,75,,eom,0.0,euclidean,ok,完成,4,0.06411641354769015,2018,77,86,29165,0.9266378598208045,0.9334371227044544,0.04764407961012326,0.3427529601152274
stage1,5,5,0.05,cosine,42,75,10.0,eom,0.0,euclidean,ok,完成,75,0.4084323568659846,12855,77,86,1385,0.044004575204931055,0.1057698417741628,0.9272975344445686,0.8431149520238927
stage1,5,5,0.05,cosine,42,75,30.0,eom,0.0,euclidean,ok,完成,62,0.4614602529071615,14524,77,86,1892,0.06011310923301773,0.13458727838851114,0.8941350277502934,0.816610535680244
stage1,5,5,0.05,cosine,42,100,,eom,0.0,euclidean,ok,完成,2,0.06970833068564529,2194,29153,127,29153,0.9262565927432166,0.9302916693143547,0.04028825579550947,0.3284855224418038
stage1,5,5,0.05,cosine,42,100,10.0,eom,0.0,euclidean,ok,完成,3,0.06173349431276609,1943,139,167,29225,0.9285441952087438,0.9382665056872339,0.05898107899096057,0.33526339200610034
stage1,5,5,0.05,cosine,42,100,30.0,eom,0.0,euclidean,ok,完成,44,0.44941856770667854,14145,139,232,1892,0.06011310923301773,0.15155366334117049,0.8958772646360453,0.816829764249857
stage1,5,5,0.05,cosine,42,125,,eom,0.0,euclidean,ok,完成,2,0.06980364745504225,2197,127,29150,29150,0.9261612759738197,0.9301963525449577,0.04029174147358111,0.32850458579568315
stage1,5,5,0.05,cosine,42,125,10.0,eom,0.0,euclidean,ok,完成,3,0.06173349431276609,1943,139,167,29225,0.9285441952087438,0.9382665056872339,0.05898107899096057,0.33526339200610034
stage1,5,5,0.05,cosine,42,125,30.0,eom,0.0,euclidean,ok,完成,40,0.455900108025672,14349,139,232,1892,0.06011310923301773,0.15155366334117049,0.9029912870005035,0.8148853021541589
stage1,5,5,0.05,cosine,42,150,,eom,0.0,euclidean,ok,完成,2,0.16032280612569105,5046,208,26220,26220,0.8330685645294529,0.839677193874309,0.06631902817648797,0.3473804833619284
stage1,5,5,0.05,cosine,42,150,10.0,eom,0.0,euclidean,ok,完成,2,0.06614983796149203,2082,167,29225,29225,0.9285441952087438,0.933850162038508,0.050556933576743124,0.32815509097456097
stage1,5,5,0.05,cosine,42,150,30.0,eom,0.0,euclidean,ok,完成,2,0.07485543623308127,2356,232,28886,28886,0.9177734002668869,0.9251445637669188,0.06699599537825568,0.33051576962995904
stage1,5,5,0.05,cosine,42,175,,eom,0.0,euclidean,ok,完成,2,0.172269174556777,5422,208,25844,25844,0.8211221960983669,0.827730825443223,0.06711047651565503,0.3497697570481455
stage1,5,5,0.05,cosine,42,175,10.0,eom,0.0,euclidean,ok,完成,35,0.4474169155493423,14082,232,189,1817,0.057730189998093664,0.15412721611488847,0.924848432810959,0.8176304251127915
stage1,5,5,0.05,cosine,42,175,30.0,eom,0.0,euclidean,ok,完成,2,0.07485543623308127,2356,232,28886,28886,0.9177734002668869,0.9251445637669188,0.06699599537825568,0.33051576962995904
stage1,5,5,0.05,cosine,42,200,,eom,0.0,euclidean,ok,完成,5,0.3134968545466099,9867,18719,973,18719,0.5947448687805807,0.6526656923174684,0.3543422845461309,0.4303276778716824
stage1,5,5,0.05,cosine,42,200,10.0,eom,0.0,euclidean,ok,完成,30,0.4672428035839105,14706,232,951,1817,0.057730189998093664,0.15412721611488847,0.9294974933553921,0.8116826587024211
stage1,5,5,0.05,cosine,42,200,30.0,eom,0.0,euclidean,ok,完成,2,0.07485543623308127,2356,232,28886,28886,0.9177734002668869,0.9251445637669188,0.06699599537825568,0.33051576962995904
stage1,5,5,0.05,cosine,42,225,,eom,0.0,euclidean,ok,完成,7,0.5059731842155429,15925,4366,751,5526,0.17557348922920507,0.3966448497172269,0.8277255663690375,0.5628736946897969
stage1,5,5,0.05,cosine,42,225,10.0,eom,0.0,euclidean,ok,完成,24,0.48706869161847877,15330,232,951,1817,0.057730189998093664,0.15412721611488847,0.9344565332498519,0.7657348922920506
stage1,5,5,0.05,cosine,42,225,30.0,eom,0.0,euclidean,ok,完成,2,0.07485543623308127,2356,232,28886,28886,0.9177734002668869,0.9251445637669188,0.06699599537825568,0.33051576962995904
stage1,5,5,0.05,cosine,42,250,,eom,0.0,euclidean,ok,完成,7,0.49768062527800727,15664,4241,744,5742,0.18243629662578636,0.4022049945987164,0.8296079784913533,0.5621905911757853
stage1,5,5,0.05,cosine,42,250,10.0,eom,0.0,euclidean,ok,完成,14,0.35575395564593,11197,4916,254,4916,0.156192412785156,0.3547690156954947,0.8542418823402852,0.6687956196649086
