stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,status,note,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,stability_rank
stage2,5,15,0.0,cosine,2026,50,5.0,eom,0.1,euclidean,ok,完成,156,0.36105992247569424,11364,51,70,1180,0.037491262629471944,0.08445065768570884,0.9410722701721417,0.8635445129313084,8
stage2,5,15,0.0,cosine,3407,50,5.0,eom,0.1,euclidean,ok,完成,152,0.34266378598208047,10785,52,79,1060,0.03367859185359344,0.07631696003050137,0.943604613101156,0.8718338946431976,8
stage2,5,15,0.0,cosine,20240603,50,5.0,eom,0.1,euclidean,ok,完成,150,0.35874054775370146,11291,51,59,791,0.025131854864332465,0.06939060812098875,0.9488646986237981,0.870960157590392,8
stage2,5,10,0.0,cosine,42,50,5.0,leaf,0.2,euclidean,ok,完成,105,0.25818135603990594,8126,77,62,2192,0.06964478617271398,0.14443667789286396,0.871146664500809,0.8727648217576414,9
stage2,5,10,0.0,cosine,123,50,5.0,leaf,0.2,euclidean,ok,完成,105,0.2584990786045625,8136,88,79,1768,0.05617334943127661,0.13264917074410626,0.8834913680802573,0.8790684374404272,9
stage2,5,10,0.0,cosine,2026,50,5.0,leaf,0.2,euclidean,ok,完成,110,0.26822138908305265,8442,61,50,3582,0.11380822265997331,0.2259642879837326,0.8204149293236738,0.8401982588803456,9
stage2,5,10,0.0,cosine,3407,50,5.0,leaf,0.2,euclidean,ok,完成,109,0.2591980682468069,8158,52,110,1970,0.06259134523733875,0.1283916883777086,0.8881498151368163,0.8777848382792146,9
stage2,5,10,0.0,cosine,20240603,50,5.0,leaf,0.2,euclidean,ok,完成,110,0.2706043083179767,8517,51,53,3125,0.09928830145516934,0.16759865285632586,0.8670800643635984,0.8555124864967909,9
stage2,5,10,0.0,cosine,42,50,5.0,eom,0.2,euclidean,ok,完成,105,0.25818135603990594,8126,77,62,2192,0.06964478617271398,0.14443667789286396,0.871146664500809,0.8727648217576414,10
stage2,5,10,0.0,cosine,123,50,5.0,eom,0.2,euclidean,ok,完成,105,0.2584990786045625,8136,88,79,1768,0.05617334943127661,0.13264917074410626,0.8834913680802573,0.8790684374404272,10
stage2,5,10,0.0,cosine,2026,50,5.0,eom,0.2,euclidean,ok,完成,110,0.26822138908305265,8442,61,50,3582,0.11380822265997331,0.2259642879837326,0.8204149293236738,0.8401982588803456,10
stage2,5,10,0.0,cosine,3407,50,5.0,eom,0.2,euclidean,ok,完成,109,0.2591980682468069,8158,52,110,1970,0.06259134523733875,0.1283916883777086,0.8881498151368163,0.8777848382792146,10
stage2,5,10,0.0,cosine,20240603,50,5.0,eom,0.2,euclidean,ok,完成,110,0.2706043083179767,8517,51,53,3125,0.09928830145516934,0.16759865285632586,0.8670800643635984,0.8555124864967909,10
